Classification Code,Start Range,End Range,Start Range Number,End Range Number,Group1,Group2,Group3,Group4,Group5
BX,BX845,BX845,845.0,845.0,Christian Denominations,Catholic Church,Directories. Yearbooks,,
BX,BX845.001,BX846.999,845.001,846.999,Christian Denominations,Catholic Church,,,
BX,BX847,BX847,847.0,847.0,Christian Denominations,Catholic Church,Atlases,,
BX,BX847.001,BX849.999,847.001,849.999,Christian Denominations,Catholic Church,,,
BX,BX850,BX875,850.0,875.0,Christian Denominations,Catholic Church,Documents,,
BX,BX875.001,BX879.999,875.001,879.999,Christian Denominations,Catholic Church,,,
BX,BX880,BX891,880.0,891.0,Christian Denominations,Catholic Church,General collected works,,
BX,BX891.001,BX894.999,891.001,894.999,Christian Denominations,Catholic Church,,,
BX,BX895,BX939,895.0,939.0,Christian Denominations,Catholic Church,Study and teaching,,
BX,BX939.001,BX939.999,939.001,939.999,Christian Denominations,Catholic Church,,,
BX,BX940,BX1745,940.0,1745.0,Christian Denominations,Catholic Church,History Including lives of popes,,
BX,BX1745.001,BX1745.999,1745.001,1745.999,Christian Denominations,Catholic Church,,,
BX,BX1746,BX1755,1746.0,1755.0,Christian Denominations,Catholic Church,Theology. Doctrine. Dogmatics,,
BX,BX1755.001,BX1755.999,1755.001,1755.999,Christian Denominations,Catholic Church,,,
BX,BX1756,BX1756,1756.0,1756.0,Christian Denominations,Catholic Church,Sermons,,
BX,BX1756.001,BX1759.999,1756.001,1759.999,Christian Denominations,Catholic Church,,,
BX,BX1760,BX1779.5,1760.0,1779.5,Christian Denominations,Catholic Church,Controversial works,,
BX,BX1779.501,BX1780.999,1779.501,1780.999,Christian Denominations,Catholic Church,,,
BX,BX1781,BX1788,1781.0,1788.0,Christian Denominations,Catholic Church,Catholic Church and other churches,,
BX,BX1788.001,BX1789.999,1788.001,1789.999,Christian Denominations,Catholic Church,,,
BX,BX1790,BX1793,1790.0,1793.0,Christian Denominations,Catholic Church,Catholic Church and the state,,
BX,BX1793.001,BX1799.999,1793.001,1799.999,Christian Denominations,Catholic Church,,,
BX,BX1800,BX1920,1800.0,1920.0,Christian Denominations,Catholic Church,Government and organization,,
BX,BX1920.001,BX1957.999,1920.001,1957.999,Christian Denominations,Catholic Church,,,
BX,BX1958,BX1968,1958.0,1968.0,Christian Denominations,Catholic Church,Creeds and catechisms,,
BX,BX1968.001,BX1968.999,1968.001,1968.999,Christian Denominations,Catholic Church,,,
BX,BX1969,BX1969,1969.0,1969.0,Christian Denominations,Catholic Church,Forms of worship. Catholic practice,,
BX,BX1969.001,BX1969.999,1969.001,1969.999,Christian Denominations,Catholic Church,,,
BX,BX1970,BX2049.999,1970.0,2049.999,Christian Denominations,Catholic Church,,,
BX,BX2050,BX2175,2050.0,2175.0,Christian Denominations,Catholic Church,Liturgy and ritual,Prayers and devotions,
BX,BX2175.001,BX2176.999,2175.001,2176.999,Christian Denominations,Catholic Church,Liturgy and ritual,,
BX,BX2177,BX2198,2177.0,2198.0,Christian Denominations,Catholic Church,"Meditations. Devotional readings. Spiritual exercises, etc.",,
BX,BX2198.001,BX2199.999,2198.001,2199.999,Christian Denominations,Catholic Church,,,
BX,BX2200,BX2292,2200.0,2292.0,Christian Denominations,Catholic Church,Sacraments,,
BX,BX2292.001,BX2294.999,2292.001,2294.999,Christian Denominations,Catholic Church,,,
BX,BX2295,BX2310,2295.0,2310.0,Christian Denominations,Catholic Church,Sacramentals,,
BX,BX2310.001,BX2311.999,2310.001,2311.999,Christian Denominations,Catholic Church,,,
BX,BX2312,BX2312,2312.0,2312.0,Christian Denominations,Catholic Church,Images,,
BX,BX2312.001,BX2314.999,2312.001,2314.999,Christian Denominations,Catholic Church,,,
BX,BX2315,BX2324,2315.0,2324.0,Christian Denominations,Catholic Church,Relics. Shrines. Pilgrimages. Processions,,
BX,BX2324.001,BX2324.999,2324.001,2324.999,Christian Denominations,Catholic Church,,,
BX,BX2325,BX2333,2325.0,2333.0,Christian Denominations,Catholic Church,Saints. Hagiology,,
BX,BX2333.001,BX2346.999,2333.001,2346.999,Christian Denominations,Catholic Church,,,
BX,BX2347,BX2377,2347.0,2377.0,Christian Denominations,Catholic Church,Practical religion. Christian life,,
BX,BX2377.001,BX2379.999,2377.001,2379.999,Christian Denominations,Catholic Church,,,
BX,BX2380,BX2386,2380.0,2386.0,Christian Denominations,Catholic Church,Religious life. Religious state,,
BX,BX2386.001,BX2399.999,2386.001,2399.999,Christian Denominations,Catholic Church,,,
BX,BX2400,BX2889.999,2400.0,2889.999,Christian Denominations,Catholic Church,,,
BX,BX2890,BX4192,2890.0,4192.0,Christian Denominations,Catholic Church,Monasticism. Religious orders,Religious orders of men,
BX,BX4192.001,BX4199.999,4192.001,4199.999,Christian Denominations,Catholic Church,Monasticism. Religious orders,,
BX,BX4200,BX4563,4200.0,4563.0,Christian Denominations,Catholic Church,Monasticism. Religious orders,Religious orders of women,
BX,BX4563.001,BX4599.999,4563.001,4599.999,Christian Denominations,Catholic Church,Monasticism. Religious orders,,
BX,BX4600,BX4644,4600.0,4644.0,Christian Denominations,Catholic Church,"Churches, cathedrals, abbeys (as parish churches), etc.",,
BX,BX4644.001,BX4649.999,4644.001,4649.999,Christian Denominations,Catholic Church,,,
BX,BX4650,BX4653.999,4650.0,4653.999,Christian Denominations,Catholic Church,Biography and portraits,,
BX,BX4654,BX4662,4654.0,4662.0,Christian Denominations,Catholic Church,Biography and portraits,Collective,Saints and martyrs
BX,BX4662.001,BX4698,4662.001,4698.0,Christian Denominations,Catholic Church,Biography and portraits,,
BX,BX4698.001,BX4699.999,4698.001,4699.999,Christian Denominations,Catholic Church,Biography and portraits,,
BX,BX4700,BX4700,4700.0,4700.0,Christian Denominations,Catholic Church,Biography and portraits,Individual,Saints
BX,BX4700.001,BX4705,4700.001,4705.0,Christian Denominations,Catholic Church,Biography and portraits,,
BX,BX4705.001,BX4710.099,4705.001,4710.099,Christian Denominations,Catholic Church,Biography and portraits,,
BX,BX4710.1,BX4715.95,4710.1,4715.95,Christian Denominations,Catholic Church,Eastern churches in communion with Rome. Catholics of the Oriental rites. Uniats,,
BX,BX4715.951,BX4716.399,4715.951,4716.399,Christian Denominations,Catholic Church,,,
BX,BX4716.4,BX4718.499,4716.4,4718.499,Christian Denominations,Catholic Church,,,
BX,BX4718.5,BX4735,4718.5,4735.0,Christian Denominations,Catholic Church,Dissenting sects other than Protestant,Jansenists,
BX,BX4735.001,BX4736.999,4735.001,4736.999,Christian Denominations,Catholic Church,Dissenting sects other than Protestant,,
BX,BX4737,BX4737,4737.0,4737.0,Christian Denominations,Catholic Church,Dissenting sects other than Protestant,French schisms of the 19th century,
BX,BX4737.001,BX4739.999,4737.001,4739.999,Christian Denominations,Catholic Church,Dissenting sects other than Protestant,,
BX,BX4740,BX4740,4740.0,4740.0,Christian Denominations,Catholic Church,Dissenting sects other than Protestant,German Catholics,
BX,BX4740.001,BX4750.999,4740.001,4750.999,Christian Denominations,Catholic Church,Dissenting sects other than Protestant,,
BX,BX4751,BX4793,4751.0,4793.0,Christian Denominations,Catholic Church,Dissenting sects other than Protestant,Old Catholics,
BX,BX4793.001,BX4793.499,4793.001,4793.499,Christian Denominations,Catholic Church,Dissenting sects other than Protestant,,
BX,BX4793.5,BX4794.25,4793.5,4794.25,Christian Denominations,Catholic Church,Dissenting sects other than Protestant,Independent Catholic Churches,
BX,BX4794.251,BX4794.999,4794.251,4794.999,Christian Denominations,Catholic Church,Dissenting sects other than Protestant,,
BX,BX4795,BX4795,4795.0,4795.0,Christian Denominations,Catholic Church,Dissenting sects other than Protestant,Other,
BX,BX4795.001,BX4799.999,4795.001,4799.999,Christian Denominations,Catholic Church,Dissenting sects other than Protestant,,
BX,BX4800,BX4861,4800.0,4861.0,Christian Denominations,Protestantism,General,,
BX,BX4861.001,BX4871.999,4861.001,4871.999,Christian Denominations,Protestantism,,,
BX,BX4872,BX4893,4872.0,4893.0,Christian Denominations,Protestantism,Pre-Reformation,Waldenses and Albigenses,
BX,BX4893.001,BX4899.999,4893.001,4899.999,Christian Denominations,Protestantism,Pre-Reformation,,
BX,BX4900,BX4906,4900.0,4906.0,Christian Denominations,Protestantism,Pre-Reformation,Lollards. Wycliffites,
BX,BX4906.001,BX4912.999,4906.001,4912.999,Christian Denominations,Protestantism,Pre-Reformation,,
BX,BX4913,BX4919.999,4913.0,4919.999,Christian Denominations,Protestantism,Pre-Reformation,,
BX,BX4920,BX4924,4920.0,4924.0,Christian Denominations,Protestantism,Pre-Reformation,Hussites,Bohemian Brethren
BX,BX4924.001,BX4928.999,4924.001,4928.999,Christian Denominations,Protestantism,Pre-Reformation,,
BX,BX4929,BX4946,4929.0,4946.0,Christian Denominations,Protestantism,Post-Reformation,Anabaptists,
BX,BX4946.001,BX4949.999,4946.001,4949.999,Christian Denominations,Protestantism,Post-Reformation,,
BX,BX4950,BX4951,4950.0,4951.0,Christian Denominations,Protestantism,Post-Reformation,Plain People,
BX,BX4951.001,BX5000.999,4951.001,5000.999,Christian Denominations,Protestantism,Post-Reformation,,
BX,BX5001,BX5009,5001.0,5009.0,Christian Denominations,Protestantism,Anglican Communion (General),,
BX,BX5009.001,BX5010.999,5009.001,5010.999,Christian Denominations,Protestantism,,,
BX,BX5011,BX5050,5011.0,5050.0,Christian Denominations,Protestantism,Church of England,General,
BX,BX5050.001,BX5050.999,5050.001,5050.999,Christian Denominations,Protestantism,Church of England,,
BX,BX5051,BX5110,5051.0,5110.0,Christian Denominations,Protestantism,Church of England,History. Local divisions,
BX,BX5110.001,BX5114.999,5110.001,5114.999,Christian Denominations,Protestantism,Church of England,,
BX,BX5115,BX5126,5115.0,5126.0,Christian Denominations,Protestantism,Church of England,Special parties and movements,
BX,BX5126.001,BX5126.999,5126.001,5126.999,Christian Denominations,Protestantism,Church of England,,
BX,BX5127,BX5129.8,5127.0,5129.8,Christian Denominations,Protestantism,Church of England,Church of England and other churches,
BX,BX5129.801,BX5129.999,5129.801,5129.999,Christian Denominations,Protestantism,Church of England,,
BX,BX5130,BX5132,5130.0,5132.0,Christian Denominations,Protestantism,Church of England,General,
BX,BX5132.001,BX5132.999,5132.001,5132.999,Christian Denominations,Protestantism,Church of England,,
BX,BX5133,BX5133,5133.0,5133.0,Christian Denominations,Protestantism,Church of England,Sermons. Tracts. Addresses. Essays,
BX,BX5133.001,BX5134.999,5133.001,5134.999,Christian Denominations,Protestantism,Church of England,,
BX,BX5135,BX5136,5135.0,5136.0,Christian Denominations,Protestantism,Church of England,Controversial works,
BX,BX5136.001,BX5136.999,5136.001,5136.999,Christian Denominations,Protestantism,Church of England,,
BX,BX5137,BX5139,5137.0,5139.0,Christian Denominations,Protestantism,Church of England,"Creeds and catechisms, etc.",
BX,BX5139.001,BX5140.499,5139.001,5140.499,Christian Denominations,Protestantism,Church of England,,
BX,BX5140.5,BX5147,5140.5,5147.0,Christian Denominations,Protestantism,Church of England,Liturgy and ritual,
BX,BX5147.001,BX5147.999,5147.001,5147.999,Christian Denominations,Protestantism,Church of England,,
BX,BX5148,BX5149,5148.0,5149.0,Christian Denominations,Protestantism,Church of England,Sacraments,
BX,BX5149.001,BX5149.999,5149.001,5149.999,Christian Denominations,Protestantism,Church of England,,
BX,BX5150,BX5182.5,5150.0,5182.5,Christian Denominations,Protestantism,Church of England,Government. Organization. Discipline,
BX,BX5182.501,BX5182.999,5182.501,5182.999,Christian Denominations,Protestantism,Church of England,,
BX,BX5183,BX5187,5183.0,5187.0,Christian Denominations,Protestantism,Church of England,Religious communities. Conventual life. Religious societies,
BX,BX5187.001,BX5193.999,5187.001,5193.999,Christian Denominations,Protestantism,Church of England,,
BX,BX5194,BX5195,5194.0,5195.0,Christian Denominations,Protestantism,Church of England,"Cathedrals, churches, etc. in England and Wales",
BX,BX5195.001,BX5196.999,5195.001,5196.999,Christian Denominations,Protestantism,Church of England,,
BX,BX5197,BX5199,5197.0,5199.0,Christian Denominations,Protestantism,Church of England,Biography,
BX,BX5199.001,BX5199.999,5199.001,5199.999,Christian Denominations,Protestantism,Church of England,,
BX,BX5200,BX5207,5200.0,5207.0,Christian Denominations,Protestantism,Church of England,Dissent and nonconformity,
BX,BX5207.001,BX5209.999,5207.001,5209.999,Christian Denominations,Protestantism,Church of England,,
BX,BX5210,BX5395,5210.0,5395.0,Christian Denominations,Protestantism,Episcopal Church in Scotland,,
BX,BX5395.001,BX5409.999,5395.001,5409.999,Christian Denominations,Protestantism,,,
BX,BX5410,BX5595,5410.0,5595.0,Christian Denominations,Protestantism,Church of Ireland,,
BX,BX5595.001,BX5595.999,5595.001,5595.999,Christian Denominations,Protestantism,,,
BX,BX5596,BX5598,5596.0,5598.0,Christian Denominations,Protestantism,Church in Wales,,
BX,BX5598.001,BX5599.999,5598.001,5599.999,Christian Denominations,Protestantism,,,
BX,BX5600,BX5600.999,5600.0,5600.999,Christian Denominations,Protestantism,,,
BX,BX5601,BX5620,5601.0,5620.0,Christian Denominations,Protestantism,Church of England outside of Great Britain,Anglican Church of Canada,
BX,BX5620.001,BX5740,5620.001,5740.0,Christian Denominations,Protestantism,,,
BX,BX5740.001,BX5799.999,5740.001,5799.999,Christian Denominations,Protestantism,,,
BX,BX5800,BX5995,5800.0,5995.0,Christian Denominations,Protestantism,Protestant Episcopal Church in the United States of America,,
BX,BX5995.001,BX5995.999,5995.001,5995.999,Christian Denominations,Protestantism,,,
BX,BX5996,BX6030,5996.0,6030.0,Christian Denominations,Protestantism,Protestant Episcopal Church outside the United States,,
BX,BX6030.001,BX6050.999,6030.001,6050.999,Christian Denominations,Protestantism,,,
BX,BX6051,BX6093,6051.0,6093.0,Christian Denominations,Protestantism,Reformed Episcopal Church,,
BX,BX6093.001,BX6100.999,6093.001,6100.999,Christian Denominations,Protestantism,,,
BX,BX6101,BX6193,6101.0,6193.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Adventists. AMillerites@,
BX,BX6193.001,BX6194.999,6193.001,6194.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6195,BX6197,6195.0,6197.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Arminians. Remonstrants,
BX,BX6197.001,BX6200.999,6197.001,6200.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6201,BX6227,6201.0,6227.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Baptists,General
BX,BX6227.001,BX6230.999,6227.001,6230.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6231,BX6328,6231.0,6328.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Baptists,History. Local divisions
BX,BX6328.001,BX6328.999,6328.001,6328.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6329,BX6329,6329.0,6329.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Baptists,Baptists and other churches
BX,BX6329.001,BX6329.999,6329.001,6329.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6330,BX6331.2,6330.0,6331.2,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Baptists,Doctrine
BX,BX6331.201,BX6332.999,6331.201,6332.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6333,BX6333,6333.0,6333.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Baptists,Sermons. Tracts
BX,BX6333.001,BX6333.999,6333.001,6333.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6334,BX6334,6334.0,6334.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Baptists,Controversial works
BX,BX6334.001,BX6334.999,6334.001,6334.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6335,BX6336,6335.0,6336.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Baptists,Creeds. Catechisms
BX,BX6336.001,BX6336.999,6336.001,6336.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6337,BX6337,6337.0,6337.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Baptists,Service. Ritual. Liturgy
BX,BX6337.001,BX6337.999,6337.001,6337.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6338,BX6339,6338.0,6339.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Baptists,Sacraments
BX,BX6339.001,BX6339.999,6339.001,6339.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6340,BX6346.3,6340.0,6346.3,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Baptists,Government. Discipline
BX,BX6346.301,BX6348.999,6346.301,6348.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6349,BX6470,6349.0,6470.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Baptists,Individual branches
BX,BX6470.001,BX6479.999,6470.001,6479.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6480,BX6490,6480.0,6490.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Baptists,Individual Baptist churches
BX,BX6490.001,BX6492.999,6490.001,6492.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6493,BX6495,6493.0,6495.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Baptists,Biography
BX,BX6495.001,BX6550.999,6495.001,6550.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6551,BX6593,6551.0,6593.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Catholic Apostolic Church. Irvingites,
BX,BX6593.001,BX6650.999,6593.001,6650.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6651,BX6693,6651.0,6693.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Christadelphians. Brothers of Christ,
BX,BX6693.001,BX6750.999,6693.001,6750.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6751,BX6793,6751.0,6793.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Christian Church,
BX,BX6793.001,BX6800.999,6793.001,6800.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6801,BX6843,6801.0,6843.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Christian Reformed Church,
BX,BX6843.001,BX6900.999,6843.001,6900.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX6901,BX6997,6901.0,6997.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Christian Science,
BX,BX6997.001,BX7002.999,6997.001,7002.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX7003,BX7003,7003.0,7003.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Christian Union,
BX,BX7003.001,BX7019.999,7003.001,7019.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX7020,BX7060,7020.0,7060.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Church of God,
BX,BX7060.001,BX7078.999,7060.001,7078.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX7079,BX7097,7079.0,7097.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Churches of God,
BX,BX7097.001,BX7100.999,7097.001,7100.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX7101,BX7260,7101.0,7260.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Congregationalism,
BX,BX7260.001,BX7300.999,7260.001,7300.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX7301,BX7343,7301.0,7343.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Disciples of Christ. Campbellites,
BX,BX7343.001,BX7400.999,7343.001,7400.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX7401,BX7430,7401.0,7430.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Dowieism. Christian Catholic Church,
BX,BX7430.001,BX7450.999,7430.001,7450.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX7451,BX7493,7451.0,7493.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Evangelical and Reformed Church,
BX,BX7493.001,BX7555.999,7493.001,7555.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX7556,BX7556,7556.0,7556.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Evangelical United Brethren Church,
BX,BX7556.001,BX7579.999,7556.001,7579.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX7580,BX7583,7580.0,7583.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Free Congregations (Germany). Freie Gemeinden,
BX,BX7583.001,BX7600.999,7583.001,7600.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX7601,BX7795,7601.0,7795.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",Friends. Society of Friends. Quakers,
BX,BX7795.001,BX7800.999,7795.001,7800.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX7801,BX7843,7801.0,7843.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",German Baptist Brethren. Church of the Brethren. Dunkards,
BX,BX7843.001,BX7849.999,7843.001,7849.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX7850,BX7865,7850.0,7865.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",German Evangelical Protestant Church of North America. Evangelical Protestant Church of North America,
BX,BX7865.001,BX7900.999,7865.001,7900.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
BX,BX7901,BX7943,7901.0,7943.0,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",German Evangelical Synod of North America,
BX,BX7943.001,BX7989.999,7943.001,7989.999,Christian Denominations,Protestantism,"Other Protestant denominations Alphabetical); only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",,
