Classification Code,Start Range,End Range,Start Range Number,End Range Number,Group1,Group2,Group3,Group4,Group5
BD,BD10,BD41,10.0,41.0,Speculative philosophy,General philosophical works,,,
BD,BD41.001,BD94.999,41.001,94.999,Speculative philosophy,,,,
BD,BD95,BD131,95.0,131.0,Speculative philosophy,Metaphysics,,,
BD,BD131.001,BD142.999,131.001,142.999,Speculative philosophy,,,,
BD,BD143,BD237,143.0,237.0,Speculative philosophy,Epistemology. Theory of knowledge,,,
BD,BD237.001,BD239.999,237.001,239.999,Speculative philosophy,,,,
BD,BD240,BD260,240.0,260.0,Speculative philosophy,Methodology,,,
BD,BD260.001,BD299.999,260.001,299.999,Speculative philosophy,,,,
BD,BD300,BD450,300.0,450.0,Speculative philosophy,"Ontology Including being, the soul, life, death",,,
BD,BD450.001,BD492.999,450.001,492.999,Speculative philosophy,,,,
BD,BD493,BD701,493.0,701.0,Speculative philosophy,"Cosmology Including teleology, space and time, structure of matter, plurality of worlds",,,
BF,BF1,BF37.999,1.0,37.999,Psychology,,,,
BF,BF38,BF64,38.0,64.0,Psychology,Philosophy. Relation to other topics,,,
BF,BF64.001,BF172.999,64.001,172.999,Psychology,,,,
BF,BF173,BF175.5,173.0,175.5,Psychology,Psychoanalysis,,,
BF,BF175.501,BF175.999,175.501,175.999,Psychology,,,,
BF,BF176,BF176.5,176.0,176.5,Psychology,Psychological tests and testing,,,
BF,BF176.501,BF179.999,176.501,179.999,Psychology,,,,
BF,BF180,BF198.7,180.0,198.7,Psychology,Experimental psychology,,,
BF,BF198.701,BF202.999,198.701,202.999,Psychology,,,,
BF,BF203,BF203,203.0,203.0,Psychology,Gestalt psychology,,,
BF,BF203.001,BF206.999,203.001,206.999,Psychology,,,,
BF,BF207,BF209,207.0,209.0,Psychology,Psychotropic drugs and other substances,,,
BF,BF209.001,BF230.999,209.001,230.999,Psychology,,,,
BF,BF231,BF299,231.0,299.0,Psychology,Sensation. Aesthesiology,,,
BF,BF299.001,BF308.999,299.001,308.999,Psychology,,,,
BF,BF309,BF499,309.0,499.0,Psychology,"Consciousness. Cognition Including learning, attention, comprehension, memory, imagination, genius, intelligence, thought and thinking, psycholinguistics, mental fatigue",,,
BF,BF499.001,BF500.999,499.001,500.999,Psychology,,,,
BF,BF501,BF505,501.0,505.0,Psychology,Motivation,,,
BF,BF505.001,BF510.999,505.001,510.999,Psychology,,,,
BF,BF511,BF593,511.0,593.0,Psychology,Affection. Feeling. Emotion,,,
BF,BF593.001,BF607.999,593.001,607.999,Psychology,,,,
BF,BF608,BF635,608.0,635.0,Psychology,Will. Volition. Choice. Control,,,
BF,BF635.001,BF635.999,635.001,635.999,Psychology,,,,
BF,BF636,BF637,636.0,637.0,Psychology,Applied psychology,,,
BF,BF637.001,BF637.999,637.001,637.999,Psychology,,,,
BF,BF638,BF648,638.0,648.0,Psychology,"New Thought. Menticulture, etc.",,,
BF,BF648.001,BF659.999,648.001,659.999,Psychology,,,,
BF,BF660,BF685,660.0,685.0,Psychology,Comparative psychology. Animal and human psychology,,,
BF,BF685.001,BF691.999,685.001,691.999,Psychology,,,,
BF,BF692,BF692.5,692.0,692.5,Psychology,Psychology of sex. Sexual behavior,,,
BF,BF692.501,BF696.999,692.501,696.999,Psychology,,,,
BF,BF697,BF697.5,697.0,697.5,Psychology,Differential psychology. Individuality. Self,,,
BF,BF697.501,BF697.999,697.501,697.999,Psychology,,,,
BF,BF698,BF698.9,698.0,698.9,Psychology,Personality,,,
BF,BF698.901,BF698.999,698.901,698.999,Psychology,,,,
BF,BF699,BF711,699.0,711.0,Psychology,Genetic psychology,,,
BF,BF711.001,BF711.999,711.001,711.999,Psychology,,,,
BF,BF712,BF724.85,712.0,724.85,Psychology,"Developmental psychology Including infant psychology, child psychology, adolescence, adulthood",,,
BF,BF724.851,BF724.999,724.851,724.999,Psychology,,,,
BF,BF725,BF727,725.0,727.0,Psychology,Class psychology,,,
BF,BF727.001,BF794.999,727.001,794.999,Psychology,,,,
BF,BF795,BF839,795.0,839.0,Psychology,Temperament. Character,,,
BF,BF839.001,BF839.799,839.001,839.799,Psychology,,,,
BF,BF839.8,BF885,839.8,885.0,Psychology,Physiognomy. Phrenology,,,
