Code,Range Start,Range End,Normalized Subject,LJ Subject
HQ,760,767.7,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,767.8,792.2,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,793,799.2,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,799.5,799.9,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,799.95,799.97,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,806.001,810.999,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,1060,1064,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,1075,1075.5,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,1088,1090.7,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,1101,1870.999,Women's Studies (HQ),Sociology
HT,101,160.999,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HT,165.5,169.9,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HT,231.001,250.999,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HT,321,325,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HT,361,384,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HT,388,388,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HT,390,395,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HT,401,485,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HT,485.001,600.999,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HT,601,620.999,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HT,675,690,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HT,851,1445,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HT,1501,1595,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HV,1,39.999,Social Welfare & Social Work (HV),Social Sciences
HV,40,69,Social Welfare & Social Work (HV),Social Sciences
HV,85,525,Social Welfare & Social Work (HV),Social Sciences
HV,551.2,552.999,Social Welfare & Social Work (HV),Social Sciences
HV,553,559.999,Social Welfare & Social Work (HV),Social Sciences
HV,560,583,Social Welfare & Social Work (HV),Social Sciences
HV,640,645,Social Welfare & Social Work (HV),Social Sciences
HV,675,677,Social Welfare & Social Work (HV),Social Sciences
HV,680,696,Social Welfare & Social Work (HV),Social Sciences
HV,697,700.7,Social Welfare & Social Work (HV),Social Sciences
HV,701,834.999,Social Welfare & Social Work (HV),Social Sciences
HV,873,887,Social Welfare & Social Work (HV),Social Sciences
HV,888,907,Social Welfare & Social Work (HV),Social Sciences
HV,1442,1448,Social Welfare & Social Work (HV),Social Sciences
HV,1449,1449,Social Welfare & Social Work (HV),Social Sciences
HV,1450,1494,Social Welfare & Social Work (HV),Social Sciences
HV,1551,3024,Social Welfare & Social Work (HV),Social Sciences
HV,3176,3199,Social Welfare & Social Work (HV),Social Sciences
HV,4005,4013,Social Welfare & Social Work (HV),Social Sciences
HV,4995.001,5000.999,Social Welfare & Social Work (HV),Social Sciences
HV,5001,5720.5,Social Welfare & Social Work (HV),Social Sciences
HV,5725,5770,Social Welfare & Social Work (HV),Social Sciences
HV,5800,5840,Social Welfare & Social Work (HV),Social Sciences
HV,6001,6034.999,Social Welfare & Social Work (HV),Social Sciences
HV,6035,6197,Social Welfare & Social Work (HV),Social Sciences
HV,6201,6249,Social Welfare & Social Work (HV),Social Sciences
HV,6250,6250.4,Social Welfare & Social Work (HV),Social Sciences
HV,6251,6773.55,Social Welfare & Social Work (HV),Social Sciences
HV,6774,7220.5,Social Welfare & Social Work (HV),Social Sciences
HV,7231,7427.999,Social Welfare & Social Work (HV),Social Sciences
HV,7431,7431,Social Welfare & Social Work (HV),Social Sciences
HV,7551,7934.999,Social Welfare & Social Work (HV),Social Sciences
HV,7935,8025,Social Welfare & Social Work (HV),Social Sciences
HV,8073,8079.199,Social Welfare & Social Work (HV),Social Sciences
HV,8290,8291,Social Welfare & Social Work (HV),Social Sciences
HV,8301,9050.999,Social Welfare & Social Work (HV),Social Sciences
HV,9051,9230.7,Social Welfare & Social Work (HV),Social Sciences
HV,9261,9430.7,Social Welfare & Social Work (HV),Social Sciences
HV,9950,9960,Social Welfare & Social Work (HV),Social Sciences
HX,519,550,"Political Science (HJ, HX, J-JC, JV)",Political Science
HX,806,811,"Political Science (HJ, HX, J-JC, JV)",Political Science
J,100,981,"Political Science (HJ, HX, J-JC, JV)",Political Science
JA,1,26,"Political Science (HJ, HX, J-JC, JV)",Political Science
JA,27,34,"Political Science (HJ, HX, J-JC, JV)",Political Science
JA,71,80,"Political Science (HJ, HX, J-JC, JV)",Political Science
JA,81,84,"Political Science (HJ, HX, J-JC, JV)",Political Science
JA,86,88,"Political Science (HJ, HX, J-JC, JV)",Political Science
JC,178.001,273,"Political Science (HJ, HX, J-JC, JV)",Political Science
JC,311,314,"Political Science (HJ, HX, J-JC, JV)",Political Science
JC,319,323,"Political Science (HJ, HX, J-JC, JV)",Political Science
JC,348,497,"Political Science (HJ, HX, J-JC, JV)",Political Science
JC,571,605,"Political Science (HJ, HX, J-JC, JV)",Political Science
JF,56.001,224.999,Government (JF-JS),Political Science
JF,491,619,Government (JF-JS),Political Science
JF,799,1177,Government (JF-JS),Political Science
JF,1338,1500.999,Government (JF-JS),Political Science
JF,1521.001,2010.999,Government (JF-JS),Political Science
JF,2011,2112,Government (JF-JS),Political Science
JK,404,500.999,Government (JF-JS),Political Science
JK,501,630.999,Government (JF-JS),Political Science
JK,631,868,Government (JF-JS),Political Science
JK,1012,1153.999,Government (JF-JS),Political Science
JK,2403,9593,Government (JF-JS),Political Science
JL,839.001,1199.999,Government (JF-JS),Political Science
JL,1200,1299,Government (JF-JS),Political Science
JL,1850,3899,Government (JF-JS),Political Science
JN,1,97,Government (JF-JS),Political Science
JN,101,1186.999,Government (JF-JS),Political Science
JN,1187,1371,Government (JF-JS),Political Science
JN,1395,1571.5,Government (JF-JS),Political Science
JN,2301,3007,Government (JF-JS),Political Science
JN,3201,4944,Government (JF-JS),Political Science
JN,6769.001,7010.999,Government (JF-JS),Political Science
JQ,21,199.999,Government (JF-JS),Political Science
JQ,200,620,Government (JF-JS),Political Science
JQ,620.001,1069.999,Government (JF-JS),Political Science
JQ,3995,6651,Government (JF-JS),Political Science
JS,39,54.999,Government (JF-JS),Political Science
JV,500,5397,"Political Science (HJ, HX, J-JC, JV)",Political Science
JV,6001,6006,"Political Science (HJ, HX, J-JC, JV)",Political Science
JV,7590,8339.7,"Political Science (HJ, HX, J-JC, JV)",Political Science
JV,8490,8758,"Political Science (HJ, HX, J-JC, JV)",Political Science
JX,1,62.999,Law (K),Law
JX,220,1195,Law (K),Law
JX,1195.001,1260.999,Law (K),Law
JX,1283.001,1304.999,Law (K),Law
JX,1901,1995,Law (K),Law
JX,2001,6650,Law (K),Law
JZ,5.5,18,International Relations (JZ),Political Science
JZ,1153.001,1248.999,International Relations (JZ),Political Science
JZ,1305,1329.499,International Relations (JZ),Political Science
JZ,5511.2,5513.999,International Relations (JZ),Political Science
JZ,5532.001,5586.999,International Relations (JZ),Political Science
JZ,5587,6009,International Relations (JZ),Political Science
JZ,6010,6060,International Relations (JZ),Political Science
JZ,6360,6377,International Relations (JZ),Political Science
K,1,36.5,Law (K),Law
K,100,103,Law (K),Law
K,115,130,Law (K),Law
K,202,202,Law (K),Law
K,212,213,Law (K),Law
K,218.001,235.999,Law (K),Law
K,237,264,Law (K),Law
K,366,380,Law (K),Law
K,486,487,Law (K),Law
K,546.001,577.999,Law (K),Law
K,1066,1089,Law (K),Law
K,1301,1366,Law (K),Law
K,3171,3179,Law (K),Law
K,3224,3278,Law (K),Law
K,3581,3598,Law (K),Law
K,3820,3836,Law (K),Law
K,5015.4,5350,Law (K),Law
KB,7,67.999,Law (K),Law
KD,51,8849.999,Law (K),Law
KE,1,9450,Law (K),Law
KF,1,9827,Law (K),Law
KHH,1,9900,Law (K),Law
KJE,5,7975,Law (K),Law
KKT,1,4999,Law (K),Law
KM,1,999,Law (K),Law
KNC,1,999,Law (K),Law
KNQ,1,9665,Law (K),Law
KQC,1,999,Law (K),Law
KZ,5.501,23.999,Law (K),Law
KZ,6440,6530,Law (K),Law
L,7,97,Education (L),Education
L,101,101,Education (L),Education
L,111,791,Education (L),Education
LA,5,25,Education (L),Education
LA,31,135,Education (L),Education
LA,201,398,Education (L),Education
LA,410,2284,Education (L),Education
LB,5,45,Education (L),Education
LB,1025,1049.899,Education (L),Education
LB,1049.9,1050.75,Education (L),Education
LB,1050.9,1091,Education (L),Education
LB,1101,1139,Education (L),Education
LB,1139.2,1139.5,Education (L),Education
LB,1140,1140.5,Education (L),Education
LB,1555,1602,Education (L),Education
LB,1603,1696.6,Education (L),Education
LB,1705,1770.999,Education (L),Education
LB,1775,1785,Education (L),Education
LB,2300,2326.399,Education (L),Education
LB,2326.4,2330,Education (L),Education
LB,2330.001,2331.699,Education (L),Education
LB,2341,2341.95,Education (L),Education
LB,2341.951,2350.999,Education (L),Education
LB,2367.751,2370.999,Education (L),Education
LB,2391.001,2430,Education (L),Education
LB,2799,2799.3,Education (L),Education
LB,2801,2831.599,Education (L),Education
LB,2832,2844.1,Education (L),Education
LB,2844.631,3010.999,Education (L),Education
LB,3011,3044.999,Education (L),Education
LB,3050,3060.87,Education (L),Education
LB,3060.871,3095,Education (L),Education
LB,3401,3495,Education (L),Education
LC,65,67.68,Education (L),Education
LC,71,71.999,Education (L),Education
LC,72.501,106.999,Education (L),Education
LC,142,148.5,Education (L),Education
LC,149,161,Education (L),Education
LC,165,182,Education (L),Education
LC,189,211.999,Education (L),Education
LC,212,212.863,Education (L),Education
LC,251,318,Education (L),Education
LC,361,445.999,Education (L),Education
LC,461,510,Education (L),Education
LC,1001,1021.999,Education (L),Education
LC,1037,1037.8,Education (L),Education
LC,1037.801,1040.999,Education (L),Education
LC,1041,1048,Education (L),Education
LC,1081,1087.4,Education (L),Education
LC,1090,1091,Education (L),Education
LC,1099,1099.5,Education (L),Education
LC,2667,2679.999,Education (L),Education
LC,3701,3740,Education (L),Education
LC,3950,3990.999,Education (L),Education
LC,3991,4000,Education (L),Education
LC,4001,4806.5,Education (L),Education
LC,4812,5160.3,Education (L),Education
LC,5201,5450.999,Education (L),Education
LC,5800,5808,Education (L),Education
LJ,3,165,Education (L),Education
ML,25,28,Music (M),Music
ML,32,33,Music (M),Music
ML,55,89,Music (M),Music
ML,162,197,Music (M),Music
ML,198,360.6,Music (M),Music
ML,385,429,Music (M),Music
ML,459,1380,Music (M),Music
ML,1400,3275,Music (M),Music
ML,3469,3541,Music (M),Music
ML,3544,3776,Music (M),Music
ML,3797,3799.5,Music (M),Music
ML,3919,3920,Music (M),Music
MT,87,87,Music (M),Music
MT,90,146,Music (M),Music
N,1,58,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
N,61,72,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
N,81,390,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
N,400,3990,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
N,3990.001,4389.999,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
N,5300,7418,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
N,7420,7525.8,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
N,8554,8585,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
N,8700,9165,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
NA,100,130,Architecture (NA),Arts & Architecture
NA,190,1555.5,Architecture (NA),Arts & Architecture
NA,2000,2320,Architecture (NA),Arts & Architecture
NA,2500,2599,Architecture (NA),Arts & Architecture
NA,2695,2793,Architecture (NA),Arts & Architecture
NA,7100,7884,Architecture (NA),Arts & Architecture
NA,9000,9428,Architecture (NA),Arts & Architecture
NC,997,1003,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
ND,2889,3416,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
NK,806.001,1134.999,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
NK,1160,1174,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
NK,1174.001,1504.999,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
NK,1175,1498,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
NK,1498.001,3599.999,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
NK,1505,1535,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
NK,1700,2138,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
NK,3600,9990,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
NK,3700,4695,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
NK,5100,5440,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
NK,6400,8459,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
NK,8800,9505.5,"Visual Arts (N, NB-NK, TR)",Arts & Architecture
NX,1,260,Fine Arts (NX),Arts & Architecture
NX,280,410,Fine Arts (NX),Arts & Architecture
NX,440,632,Fine Arts (NX),Arts & Architecture
P,1,85,Linguistics (P),Language & Literature
P,87,94.699,Linguistics (P),Language & Literature
P,95,95.6,Communication & Mass Media (P),Language & Literature
P,95.601,96,Communication & Mass Media (P),Language & Literature
P,98,98.5,Linguistics (P),Language & Literature
P,99,99.4,Linguistics (P),Language & Literature
P,101,117.999,Linguistics (P),Language & Literature
P,118,118.75,Linguistics (P),Language & Literature
P,118.751,120.999,Linguistics (P),Language & Literature
P,121,149,Linguistics (P),Language & Literature
P,149.001,200.999,Linguistics (P),Language & Literature
P,201,299,Linguistics (P),Language & Literature
P,301,301.5,Linguistics (P),Language & Literature
P,302,302.87,Linguistics (P),Language & Literature
P,306,310,Linguistics (P),Language & Literature
P,321,324.5,Linguistics (P),Language & Literature
P,325,325.5,Linguistics (P),Language & Literature
P,326,326.5,Linguistics (P),Language & Literature
P,327,327.5,Linguistics (P),Language & Literature
P,327.501,374.999,Linguistics (P),Language & Literature
P,375,381,Linguistics (P),Language & Literature
P,501,769,Linguistics (P),Language & Literature
PA,1,199,Languages & Literatures (PA-PZ),Language & Literature
PA,1000,1179,Languages & Literatures (PA-PZ),Language & Literature
PA,2001,2915,Languages & Literatures (PA-PZ),Language & Literature
PA,3000,3049,Languages & Literatures (PA-PZ),Language & Literature
PA,3300,3516,Languages & Literatures (PA-PZ),Language & Literature
PA,5000,5300.999,Languages & Literatures (PA-PZ),Language & Literature
PB,1,431,Languages & Literatures (PA-PZ),Language & Literature
PB,1201,1449,Languages & Literatures (PA-PZ),Language & Literature
PC,1,400,Languages & Literatures (PA-PZ),Language & Literature
PC,400.001,600.999,Languages & Literatures (PA-PZ),Language & Literature
PC,1001,1977,Languages & Literatures (PA-PZ),Language & Literature
PC,2001,2699.999,Languages & Literatures (PA-PZ),Language & Literature
PC,3801,3976,Languages & Literatures (PA-PZ),Language & Literature
PC,4001,4977,Languages & Literatures (PA-PZ),Language & Literature
PC,5001,5498,Languages & Literatures (PA-PZ),Language & Literature
PD,1501,2200.999,Languages & Literatures (PA-PZ),Language & Literature
PD,2201,2393,Languages & Literatures (PA-PZ),Language & Literature
PD,3001,3929,Languages & Literatures (PA-PZ),Language & Literature
PE,1001,1693,Languages & Literatures (PA-PZ),Language & Literature
PE,1700,3602,Languages & Literatures (PA-PZ),Language & Literature
PF,3001,3800.999,Languages & Literatures (PA-PZ),Language & Literature
PF,5000,5951,Languages & Literatures (PA-PZ),Language & Literature
PG,1,499,Languages & Literatures (PA-PZ),Language & Literature
PG,601,716,Languages & Literatures (PA-PZ),Language & Literature
PG,801,1146,Languages & Literatures (PA-PZ),Language & Literature
PG,1201,1749,Languages & Literatures (PA-PZ),Language & Literature
PG,2001,2826,Languages & Literatures (PA-PZ),Language & Literature
PG,2900,2998,Languages & Literatures (PA-PZ),Language & Literature
PG,4001,5146,Languages & Literatures (PA-PZ),Language & Literature
PG,5201,5546,Languages & Literatures (PA-PZ),Language & Literature
PG,6001,7446,Languages & Literatures (PA-PZ),Language & Literature
PH,601,671,Languages & Literatures (PA-PZ),Language & Literature
PJ,1,195,Languages & Literatures (PA-PZ),Language & Literature
PJ,1001,1090.999,Languages & Literatures (PA-PZ),Language & Literature
PJ,3001,3097,Languages & Literatures (PA-PZ),Language & Literature
PJ,3101,3230.999,Languages & Literatures (PA-PZ),Language & Literature
PJ,5001,5049.999,Languages & Literatures (PA-PZ),Language & Literature
PJ,6001,6072.999,Languages & Literatures (PA-PZ),Language & Literature
PJ,7501,7695.799,Languages & Literatures (PA-PZ),Language & Literature
PL,1001,1960,Languages & Literatures (PA-PZ),Language & Literature
PL,2250,2443,Languages & Literatures (PA-PZ),Language & Literature
PL,2661,2979,Languages & Literatures (PA-PZ),Language & Literature
PL,3551,3560.999,Languages & Literatures (PA-PZ),Language & Literature
PL,5001,5050.999,Languages & Literatures (PA-PZ),Language & Literature
PL,8000,8009,Languages & Literatures (PA-PZ),Language & Literature
PL,8009.5,8014,Languages & Literatures (PA-PZ),Language & Literature
PL,8035,8844,Languages & Literatures (PA-PZ),Language & Literature
PM,101,230.999,Languages & Literatures (PA-PZ),Language & Literature
PM,7831,7875,Languages & Literatures (PA-PZ),Language & Literature
PN,45,57,Languages & Literatures (PA-PZ),Language & Literature
PN,80,99,Languages & Literatures (PA-PZ),Language & Literature
PN,101,171.999,Languages & Literatures (PA-PZ),Language & Literature
PN,172,239,Languages & Literatures (PA-PZ),Language & Literature
PN,241,241.5,Languages & Literatures (PA-PZ),Language & Literature
PN,451,497,Languages & Literatures (PA-PZ),Language & Literature
PN,597,605,Languages & Literatures (PA-PZ),Language & Literature
PN,661,682.999,Languages & Literatures (PA-PZ),Language & Literature
PN,683,687,Languages & Literatures (PA-PZ),Language & Literature
PN,749.001,779,Languages & Literatures (PA-PZ),Language & Literature
PN,801,820,Languages & Literatures (PA-PZ),Language & Literature
PN,842.001,850.999,Languages & Literatures (PA-PZ),Language & Literature
PN,851,884,Languages & Literatures (PA-PZ),Language & Literature
PN,1008.2,1009.5,Languages & Literatures (PA-PZ),Language & Literature
PN,1010,1030.999,Languages & Literatures (PA-PZ),Language & Literature
PN,1031,1049,Languages & Literatures (PA-PZ),Language & Literature
PN,1560,1584.999,Languages & Literatures (PA-PZ),Language & Literature
PN,1600,1634.999,Drama (PN),Language & Literature
PN,1693.001,1719.999,Drama (PN),Language & Literature
PN,1720,1861,Drama (PN),Language & Literature
PN,1991,1991.9,Drama (PN),Language & Literature
PN,1992,1992.92,Drama (PN),Language & Literature
PN,1993,1996.999,Drama (PN),Language & Literature
PN,2000,2060.999,Drama (PN),Language & Literature
PN,2061,2071,Drama (PN),Language & Literature
PN,2091.001,2130.999,Drama (PN),Language & Literature
PN,2219.3,3030,Drama (PN),Language & Literature
PN,3151,3171,Drama (PN),Language & Literature
PN,3311,3328.999,Drama (PN),Language & Literature
PN,3355,3383,Languages & Literatures (PA-PZ),Language & Literature
PN,3427,3448,Languages & Literatures (PA-PZ),Language & Literature
PN,3451,3503,Languages & Literatures (PA-PZ),Language & Literature
PN,4001,4070.999,Languages & Literatures (PA-PZ),Language & Literature
PN,4071,4095,Languages & Literatures (PA-PZ),Language & Literature
PN,4699,4734.999,Languages & Literatures (PA-PZ),Language & Literature
PN,4748.001,4774.999,Journalism (PN),Language & Literature
PN,4775,4784,Journalism (PN),Language & Literature
PN,4840,5648,Journalism (PN),Language & Literature
PN,6010,6065.999,Journalism (PN),Language & Literature
PN,6069.001,6079.999,Languages & Literatures (PA-PZ),Language & Literature
PN,6099,6110,Languages & Literatures (PA-PZ),Language & Literature
PN,6110.5,6120,Languages & Literatures (PA-PZ),Language & Literature
PN,6146.5,6156.999,Languages & Literatures (PA-PZ),Language & Literature
PN,6700,6790,Languages & Literatures (PA-PZ),Language & Literature
PQ,226,317,Languages & Literatures (PA-PZ),Language & Literature
PQ,2600,2651,Languages & Literatures (PA-PZ),Language & Literature
PQ,3800,3999,Languages & Literatures (PA-PZ),Language & Literature
PQ,4001,4063,Languages & Literatures (PA-PZ),Language & Literature
PQ,6001,6055.999,Languages & Literatures (PA-PZ),Language & Literature
PQ,6061,6073,Languages & Literatures (PA-PZ),Language & Literature
PQ,6098.7,6129,Languages & Literatures (PA-PZ),Language & Literature
PQ,6131,6153,Languages & Literatures (PA-PZ),Language & Literature
PQ,6271,6498,Languages & Literatures (PA-PZ),Language & Literature
PQ,6500,6576,Languages & Literatures (PA-PZ),Language & Literature
PQ,7081,8560,Languages & Literatures (PA-PZ),Language & Literature
PQ,9000,9034,Languages & Literatures (PA-PZ),Language & Literature
PQ,9500,9698.436,Languages & Literatures (PA-PZ),Language & Literature
PR,1,56,Languages & Literatures (PA-PZ),Language & Literature
PR,111,116,Languages & Literatures (PA-PZ),Language & Literature
PR,251,369,Languages & Literatures (PA-PZ),Language & Literature
PR,401,420.999,Languages & Literatures (PA-PZ),Language & Literature
PR,441,449,Languages & Literatures (PA-PZ),Language & Literature
PR,451,469,Languages & Literatures (PA-PZ),Language & Literature
PR,500,520.999,Languages & Literatures (PA-PZ),Language & Literature
PR,641,744,Languages & Literatures (PA-PZ),Language & Literature
PR,750,766.999,Languages & Literatures (PA-PZ),Language & Literature
PR,821,890,Languages & Literatures (PA-PZ),Language & Literature
PR,1098,1109.999,Languages & Literatures (PA-PZ),Language & Literature
PR,1119,1151,Languages & Literatures (PA-PZ),Language & Literature
PR,1803,2165,Languages & Literatures (PA-PZ),Language & Literature
PR,2199,3195,Languages & Literatures (PA-PZ),Language & Literature
PR,3291,3785,Languages & Literatures (PA-PZ),Language & Literature
PR,3991,5990,Languages & Literatures (PA-PZ),Language & Literature
PR,6000,6049,Languages & Literatures (PA-PZ),Language & Literature
PR,8309,9680,Languages & Literatures (PA-PZ),Language & Literature
PS,147,152,Languages & Literatures (PA-PZ),Language & Literature
PS,152.001,162.999,Languages & Literatures (PA-PZ),Language & Literature
PS,201,217,Languages & Literatures (PA-PZ),Language & Literature
PS,271,285,Languages & Literatures (PA-PZ),Language & Literature
PS,301,326,Languages & Literatures (PA-PZ),Language & Literature
PS,370,380,Languages & Literatures (PA-PZ),Language & Literature
PS,430,439,Languages & Literatures (PA-PZ),Language & Literature
PS,501,529.999,Languages & Literatures (PA-PZ),Language & Literature
PS,551,559,Languages & Literatures (PA-PZ),Language & Literature
PS,580,592.999,Languages & Literatures (PA-PZ),Language & Literature
PS,651,659.2,Languages & Literatures (PA-PZ),Language & Literature
PS,991,3390,Languages & Literatures (PA-PZ),Language & Literature
PS,3500,3549,Languages & Literatures (PA-PZ),Language & Literature
PS,3550,3576,Languages & Literatures (PA-PZ),Language & Literature
PS,8001,8599,Languages & Literatures (PA-PZ),Language & Literature
PT,83,174.999,Languages & Literatures (PA-PZ),Language & Literature
PT,175,230,Languages & Literatures (PA-PZ),Language & Literature
PT,1100,1141,Languages & Literatures (PA-PZ),Language & Literature
PT,2044,2239,Languages & Literatures (PA-PZ),Language & Literature
PT,3746.001,3971,Languages & Literatures (PA-PZ),Language & Literature
PT,6500,6530,Languages & Literatures (PA-PZ),Language & Literature
PT,7001,7087,Languages & Literatures (PA-PZ),Language & Literature
PT,8851,8900,Languages & Literatures (PA-PZ),Language & Literature
PZ,5,90,Languages & Literatures (PA-PZ),Language & Literature
Q,1,295,Sciences--General (Q),General Science
Q,300,349.999,Sciences--General (Q),General Science
Q,350,390,Sciences--General (Q),General Science
QA,1,43,Mathematics (QA),Math & Computer Science
QA,71,76.749,Mathematics (QA),Math & Computer Science
QA,76.75,76.765,Computer Science (QA),Math & Computer Science
QA,76.766,76.95,Mathematics (QA),Math & Computer Science
QA,150,272.5,Mathematics (QA),Math & Computer Science
QA,273,280,Mathematics (QA),Math & Computer Science
QA,280.001,299.599,Mathematics (QA),Math & Computer Science
QA,299.6,433,Mathematics (QA),Math & Computer Science
QA,440,699,Mathematics (QA),Math & Computer Science
QA,801,939,Mathematics (QA),Math & Computer Science
QB,1,139,Astronomy (QB),Astronomy
QB,275,343,Astronomy (QB),Astronomy
QB,349,421,Astronomy (QB),Astronomy
QB,460,466,Astronomy (QB),Astronomy
QB,495,500.499,Astronomy (QB),Astronomy
QB,500.5,785,Astronomy (QB),Astronomy
QC,1,75,Physics (QC),Physics
QC,81,114,Physics (QC),Physics
QC,120,168.85,Physics (QC),Physics
QC,170,197,Physics (QC),Physics
QC,197.001,220.999,Physics (QC),Physics
QC,221,246,Physics (QC),Physics
QC,251,310.149,Physics (QC),Physics
QC,310.15,319,Physics (QC),Physics
QC,319.001,338.5,Physics (QC),Physics
QC,350,449.999,Physics (QC),Physics
QC,450,467,Physics (QC),Physics
QC,474,496.9,Physics (QC),Physics
QC,501,668.999,Physics (QC),Physics
QC,678.601,700.999,Physics (QC),Physics
QC,717.6,718.8,Physics (QC),Physics
QC,718.801,721,Physics (QC),Physics
QC,750,766,Physics (QC),Physics
QC,770,792.999,Physics (QC),Physics
QC,793,793.5,Physics (QC),Physics
QC,794.95,798,Physics (QC),Physics
QC,801,809,Physics (QC),Physics
QC,811,849,Physics (QC),Physics
QC,851,974.499,Meteorology & Climatology (QC),Physics
QC,980,994.949,Meteorology & Climatology (QC),Physics
QC,994.95,999,Meteorology & Climatology (QC),Physics
QD,1,65,Chemistry (QD),Chemistry
QD,71,142,Chemistry (QD),Chemistry
QD,146,197,Chemistry (QD),Chemistry
QD,241,414.999,Chemistry (QD),Chemistry
QD,415,436,Chemistry (QD),Chemistry
QD,450,624.999,Chemistry (QD),Chemistry
QD,701,731,Chemistry (QD),Chemistry
QD,731.001,801,Chemistry (QD),Chemistry
QD,901,999,Materials Science (QD),Chemistry
QE,1,350.62,Geology (QE),Geology
QE,351,399.2,Geology (QE),Geology
QE,420,499,Geology (QE),Geology
QE,500,520.999,Geology (QE),Geology
QE,521,545,Geology (QE),Geology
QE,545.001,600.999,Geology (QE),Geology
QE,601,613.5,Geology (QE),Geology
QE,640,699,Geology (QE),Geology
QE,701,760,Geology (QE),Geology
QE,760.8,899.2,Geology (QE),Geology
QE,901,996.5,Geology (QE),Geology
QH,1,199.5,Natural History (QH),Biology
QH,201,278.5,Natural History (QH),Biology
QH,301,358.999,Natural History (QH),Biology
QH,359,425,Biology (QH),Biology
QH,426,470,Biology (QH),Biology
QH,489.001,500.999,Biology (QH),Biology
QH,501,531,Biology (QH),Biology
QH,540,549.5,Ecology (QH),Biology
QH,573,671,Biology (QH),Biology
QH,671.001,704.999,Biology (QH),Biology
QH,705,705.5,Biology (QH),Biology
QK,1,474.5,Botany (QK),Botany
QK,474.8,493.999,Botany (QK),Botany
QK,504,638,Botany (QK),Botany
QK,640,707,Botany (QK),Botany
QK,710,899,Botany (QK),Botany
QK,900,989,Botany (QK),Botany
QL,1,355,Zoology (QL),Zoology
QL,360,460.999,Zoology (QL),Zoology
QL,461,599.82,Zoology (QL),Zoology
QL,605,613.999,Zoology (QL),Zoology
QL,614,639.8,Zoology (QL),Zoology
QL,640,669.3,Zoology (QL),Zoology
QL,671,699,Zoology (QL),Zoology
QL,700,739.8,Zoology (QL),Zoology
QL,750,790.999,Zoology (QL),Zoology
QL,799,799.5,Zoology (QL),Zoology
QL,801,950.9,Zoology (QL),Zoology
QL,951,991,Zoology (QL),Zoology
QM,1,511,Anatomy (QM),Health Sciences
QM,531,549,Anatomy (QM),Health Sciences
QM,550,577.8,Anatomy (QM),Health Sciences
QM,601,695,Anatomy (QM),Health Sciences
QP,1,345,Physiology (QP),Health Sciences
QP,351,495,Physiology (QP),Health Sciences
QP,501,801,Animal Biochemistry (QP),Health Sciences
QP,901,981,"Pharmacy, Therapeutics, & Pharmacology (QP, RM, RS)",Health Sciences
