Code,Range Start,Range End,Normalized Subject,LJ Subject
BX,1800,1920,Religion (BL-BX),Philosophy & Religion
BX,1970,2049.999,Religion (BL-BX),Philosophy & Religion
BX,2400,2889.999,Religion (BL-BX),Philosophy & Religion
BX,2890,4192,Religion (BL-BX),Philosophy & Religion
BX,5001,5009,Religion (BL-BX),Philosophy & Religion
BX,6201,6227,Religion (BL-BX),Philosophy & Religion
BX,8551,8593,Religion (BL-BX),Philosophy & Religion
BX,9401,9640,Religion (BL-BX),Philosophy & Religion
CB,158,161,History (C-F),History
CB,195,281,History (C-F),History
CB,305,430,History (C-F),History
CB,478,478,History (C-F),History
CC,1,71.999,History (C-F),History
CC,72,72.999,History (C-F),History
CC,73,81,History (C-F),History
CC,83,97,History (C-F),History
CC,97.001,134.999,History (C-F),History
CC,135,137,History (C-F),History
CD,1,69.999,History (C-F),History
CD,921,994.999,History (C-F),History
CD,1000,4280,History (C-F),History
CN,120,740,History (C-F),History
CS,2300,3090,History (C-F),History
CT,93,205.999,History (C-F),History
D,1,24.5,History (C-F),History
D,25,27,History (C-F),History
D,31,34,History (C-F),History
D,51,90,History (C-F),History
D,111,134.999,History (C-F),History
D,219,234,History (C-F),History
D,242,250.999,History (C-F),History
D,351,370.999,History (C-F),History
D,371,379,History (C-F),History
D,410,460.999,History (C-F),History
D,731,838,History (C-F),History
D,839,860,History (C-F),History
D,880,888,History (C-F),History
D,900,900.999,History (C-F),History
D,901,980,History (C-F),History
D,1050,2009,History (C-F),History
DA,10,18.2,History (C-F),History
DA,20,27.5,History (C-F),History
DA,90,125,History (C-F),History
DA,140,199,History (C-F),History
DA,300,309.999,History (C-F),History
DA,505,522,History (C-F),History
DA,522.001,549.999,History (C-F),History
DA,566,592,History (C-F),History
DA,670,670,History (C-F),History
DA,675,689,History (C-F),History
DA,700,713,History (C-F),History
DA,750,757.7,History (C-F),History
DA,880,890,History (C-F),History
DA,900,908.7,History (C-F),History
DA,920,927,History (C-F),History
DAW,1031,1051,History (C-F),History
DB,29,34.5,History (C-F),History
DB,101,785,History (C-F),History
DC,21,29.3,History (C-F),History
DC,30,34.5,History (C-F),History
DC,110,110.999,History (C-F),History
DC,139,249,History (C-F),History
DC,411,424,History (C-F),History
DC,611,611,History (C-F),History
DD,51,78,History (C-F),History
DD,99,120,History (C-F),History
DE,80,100,History (C-F),History
DF,10,16,History (C-F),History
DF,75,136,History (C-F),History
DF,501,518,History (C-F),History
DF,520,542.4,History (C-F),History
DF,741,748,History (C-F),History
DG,11,16,History (C-F),History
DG,401,421,History (C-F),History
DG,431,457,History (C-F),History
DG,532,537.8,History (C-F),History
DG,538,538.999,History (C-F),History
DG,552,552.999,History (C-F),History
DG,576,583.8,History (C-F),History
DG,803,817.3,History (C-F),History
DH,401,430,History (C-F),History
DK,1,32.999,History (C-F),History
DK,266,292,History (C-F),History
DK,293.001,499.999,History (C-F),History
DK,502.3,502.75,History (C-F),History
DK,503,503.919,History (C-F),History
DK,508,508.919,History (C-F),History
DK,510,540.999,History (C-F),History
DK,609.001,651,History (C-F),History
DK,751,781,History (C-F),History
DL,121,142.5,History (C-F),History
DL,401,414,History (C-F),History
DL,420,442.5,History (C-F),History
DL,601,614.5,History (C-F),History
DP,44,53,History (C-F),History
DP,56,75,History (C-F),History
DP,76,86,History (C-F),History
DP,91,91.999,History (C-F),History
DP,97.3,99.999,History (C-F),History
DP,100,123,History (C-F),History
DP,160.801,160.999,History (C-F),History
DP,201,203.999,History (C-F),History
DP,233,249.999,History (C-F),History
DP,302,302,History (C-F),History
DP,501,520,History (C-F),History
DP,528,534.5,History (C-F),History
DP,702,702,History (C-F),History
DR,20,27,History (C-F),History
DR,32,48.5,History (C-F),History
DR,51,56.7,History (C-F),History
DR,219,229,History (C-F),History
DR,279,280.74,History (C-F),History
DR,296.001,400.999,History (C-F),History
DR,401,419,History (C-F),History
DR,436,446,History (C-F),History
DR,1352,1485,History (C-F),History
DR,1502,1619.999,History (C-F),History
DR,1636.501,1645,History (C-F),History
DS,13,28,History (C-F),History
DS,31,35.2,History (C-F),History
DS,35.3,35.77,History (C-F),History
DS,36,36.899,History (C-F),History
DS,41,53.999,History (C-F),History
DS,54.951,57.999,History (C-F),History
DS,61,66,History (C-F),History
DS,101,108.999,History (C-F),History
DS,111,111.9,History (C-F),History
DS,111.901,113.199,History (C-F),History
DS,114,128.2,History (C-F),History
DS,133,151,History (C-F),History
DS,201,217.999,History (C-F),History
DS,251,260.699,History (C-F),History
DS,262.001,267.999,History (C-F),History
DS,327,329.4,History (C-F),History
DS,331,349.799,History (C-F),History
DS,401,429.999,History (C-F),History
DS,432.001,432.999,History (C-F),History
DS,501,518.149,History (C-F),History
DS,518.15,518.9,History (C-F),History
DS,520,523.999,History (C-F),History
DS,556,556.999,History (C-F),History
DS,561,568.999,History (C-F),History
DS,591,594.999,History (C-F),History
DS,600,605,History (C-F),History
DS,611,630.999,History (C-F),History
DS,646.3,646.34,History (C-F),History
DS,651,664.999,History (C-F),History
DS,701,729.999,History (C-F),History
DS,731.001,732.999,History (C-F),History
DS,733,779.32,History (C-F),History
DS,801,832.999,History (C-F),History
DS,901,904.799,History (C-F),History
DT,12.251,14.999,History (C-F),History
DT,16.001,16.999,History (C-F),History
DT,56.8,62.999,History (C-F),History
DT,160,166.999,History (C-F),History
DT,268,269,History (C-F),History
DT,301,312.999,History (C-F),History
DT,365,365.499,History (C-F),History
DT,671.001,1000.999,History (C-F),History
DT,1754,1756.999,History (C-F),History
DT,1772,1974,History (C-F),History
DU,1,28.109,History (C-F),History
DU,28.11,68,History (C-F),History
DU,80,107.999,History (C-F),History
DU,108,117.2,History (C-F),History
DU,120,124.999,History (C-F),History
DU,250,269.999,History (C-F),History
DU,419,422,History (C-F),History
DU,620,629,History (C-F),History
DX,101,301,History (C-F),History
E,11,28.999,History (C-F),History
E,31,49.2,History (C-F),History
E,51,73,History (C-F),History
E,75,80.999,History (C-F),History
E,99,99,History (C-F),History
E,151,169.12,History (C-F),History
E,171,172.999,History (C-F),History
E,175.701,175.999,History (C-F),History
E,181,181,History (C-F),History
E,183,183.3,History (C-F),History
E,183.7,183.799,History (C-F),History
E,184,185.199,History (C-F),History
E,185.2,185.89,History (C-F),History
E,186,189,History (C-F),History
E,337.5,337.5,History (C-F),History
E,461,481.999,History (C-F),History
E,660.001,661.699,History (C-F),History
F,1,15,History (C-F),History
F,116,130,History (C-F),History
F,146,160,History (C-F),History
F,191,205,History (C-F),History
F,206,220,History (C-F),History
F,221,235,History (C-F),History
F,381,395,History (C-F),History
F,406,420,History (C-F),History
F,446,460,History (C-F),History
F,590.3,596.3,History (C-F),History
F,726,740,History (C-F),History
F,786,790,History (C-F),History
F,791,805,History (C-F),History
F,806,820,History (C-F),History
F,850.5,851.5,History (C-F),History
F,856,870,History (C-F),History
F,871,885,History (C-F),History
F,886,900,History (C-F),History
F,1001,1035,History (C-F),History
F,1035.8,1035.8,History (C-F),History
F,1201,1218.499,History (C-F),History
F,1221.001,1392,History (C-F),History
F,1401,1419,History (C-F),History
F,1421,1434.999,History (C-F),History
F,1751,1787.999,History (C-F),History
F,2131,2133,History (C-F),History
F,2141,2141,History (C-F),History
F,2201,2239,History (C-F),History
F,2251,2299,History (C-F),History
F,2301,2349,History (C-F),History
F,2501,2659,History (C-F),History
F,2801,3021,History (C-F),History
F,3051,3285,History (C-F),History
F,3401,3619,History (C-F),History
F,3701,3799,History (C-F),History
G,1,64.999,Geography (G-GB),Geography
G,70,70.6,Geography (G-GB),Geography
G,70.601,79.999,Geography (G-GB),Geography
G,108.501,139.999,Geography (G-GB),Geography
G,141,141,Geography (G-GB),Geography
G,149,154.899,Geography (G-GB),Geography
G,154.9,155.8,Geography (G-GB),Geography
G,503.001,520.999,Geography (G-GB),Geography
G,550.001,574.999,Geography (G-GB),Geography
G,575,890,Geography (G-GB),Geography
GA,101,108.999,Geography (G-GB),Geography
GB,3,399.999,Geography (G-GB),Geography
GB,400,446.999,Geography (G-GB),Geography
GB,471,478.995,Geography (G-GB),Geography
GB,500,555,Geography (G-GB),Geography
GB,561,649,Geography (G-GB),Geography
GB,651,979.999,Geography (G-GB),Geography
GB,1001,1199.8,Geography (G-GB),Geography
GB,1601,2398,Geography (G-GB),Geography
